variable,label,scale_type,OldTheme,MainTheme,Subtheme
Q19,Expectativa del gobierno Municipal de Cruz Perez Cuellar,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q20,Expectativa del gobierno Estatal de Maru Campos Galvan,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q21,Expectativa del gobierno de la Republica de Andres Manuel Lopez Obrador,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.1,Confianza: Diputados,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.2,Confianza: Prensa local (periódicos),Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.3,Confianza: Televisoras locales,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.4,Confianza: Iglesias,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.5,Confianza: Maestros,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.6,Confianza: Partidos políticos,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.7,Confianza: Organizaciones ciudadanas (OSC's),Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.8,Confianza: Universidades,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.9,Confianza: Empresarios,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.10,Confianza: Policía municipal,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.11,Confianza: Tránsito municipal,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.12,Confianza: Policía ministerial,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.13,Confianza: Policía estatal,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.14,Confianza: Ejército,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.15,Confianza: Guardia nacional,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.16,Confianza: Jueces o magistrados,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.17,Confianza: Presidente municipal(Cruz Pérez Cuellar),Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.18,Confianza: Regidores,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.19,Confianza: Síndico/a,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.20,Confianza: Funcionarios del gobierno municipal,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.21,Confianza: Gobernador/a (Maru Campos),Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.22,Confianza: Funcionarios del gobierno del estado,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.23,Confianza: Presidente de la república,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q22.24,Confianza: Funcionarios del gobierno federal,Intervalo,Trust,Governance & Civic Engagement,Trust in Institutions
Q23,Durante 2023 realizó algún trámite ante el gobierno municipal?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q24,Cuántos trámites ante el Gobierno MUNICIPAL hizo durante este tiempo?,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q25,Durante 2023 realizó trámite de PREDIAL?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q26,Durante 2023 dio mordida o soborno para realizar el trámite? PREDIAL,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q27,En total cuánto dinero dio en sobornos por PREDIAL,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q28,Durante 2023 realizó trámite de LICENCIA DE FUNCIONAMIENTO?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q29,Durante 2023 dio mordida o soborno para realizar el trámite? LICENCIA DE FUNCIONAMIENTO,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q30,En total cuánto dinero dio en sobornos por LICENCIA DE FUNCIONAMIENTO,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q31,Durante 2023 realizó trámite de USO DE SUELO?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q32,Durante 2023 dio mordida o soborno para realizar el trámite? USO DE SUELO,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q33,En total cuánto dinero dio en soborno por USO DE SUELO,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q34,Durante 2023 realizó trámite de CARTA DE RESIDENCIA?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q35,Durante 2023 dio mordida o soborno para realizar el trámite? CARTA DE RESIDENCIA,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q36,En total cuánto dinero dio en sobornos CARTA DE RESIDENCIA,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q37,Durante 2023 realizó trámite de PAGO DE MULTAS?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q38,Durante 2023 dio mordida o soborno para realizar el trámite? PAGO DE MULTAS,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q39,En total cuánto dinero dio en sobornos por PAGO DE MULTAS,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q40,Durante 2023 realizó trámite de ESTACIONÓMETROS?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q41,Durante 2023 dio mordida o soborno para realizar el trámite? ESTACIONÓMETROS,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q42,En total cuánto dinero dio en sobornos por ESTACIONÓMETROS,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q43,Durante 2023 realizó trámite de SERVICIOS PÚBLICOS (LIMPIA; LUZ; PARQUES)?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q44,Durante 2023 dio mordida o soborno para realizar el trámite? SERVICIOS PÚBLICOS,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q45,En total cuánto dinero dio en sobornos por SERVICIOS PÚBLICOS,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q46,Durante 2023 realizó trámite de PERMISO DE CONSTRUCCIÓN?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q47,Durante 2023 dio mordida o soborno para realizar el trámite? PERMISO DE CONSTRUCCIÓN,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q48,En total cuánto dinero dio en sobornos por PERMISO DE CONSTRUCCIÓN,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q49,Durante 2023 realizó trámites por delitos ambientales? DIRECCIÓN DE ECOLOGÍA,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q50,Durante 2023 dio mordida o soborno para realizar trámites por delitos ambientales?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q51,En total cuánto dinero dio en sobornos por trámites/multas medioambientales,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q52,Durante 2023 realizó OTROS TRÁMITES MUNICIPALES?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q53,Cuál es el o los otros trámites municipales que realizó?,Nominal (Abierta),Corruption,Governance & Civic Engagement,Public Integrity
Q54,Durante 2023 dio mordida o soborno para realizar el trámite? OTROS TRÁMITES MUNICIPALES,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q55,En total cuánto dinero dio en sobornos por estos OTROS TRÁMITES MUNICIPALES,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q56,Durante 2023 realizó por lo menos 1 trámite ante gobierno estatal?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q57,Durante el 2023 cuántos trámites ante el Gobierno ESTATAL hizo durante este tiempo?,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q58,Durante 2023 realizó trámites de LICENCIA DE CONDUCIR?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q59,Durante 2023 dio mordida o soborno para realizar el trámite? LICENCIA DE CONDUCIR,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q60,En total cuánto dinero dio en sobornos por LICENCIA DE CONDUCIR,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q61,Durante 2023 realizó trámites de REGISTRO PÚBLICO DE LA PROPIEDAD?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q62,Durante 2023 dio mordida o soborno para realizar el trámite? REGISTRO PÚBLICO,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q63,En total cuánto dinero dio en sobornos por REGISTRO PÚBLICO DE LA PROPIEDAD,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q64,Durante 2023 realizó trámites de PERMISOS DE GOBERNACIÓN?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q65,Durante 2023 dio mordida o soborno para realizar el trámite? PERMISOS DE GOBERNACIÓN,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q66,En total cuánto dinero dio en sobornos por PERMISOS DE GOBERNACIÓN,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q67,Durante 2023 realizó trámites de IMPUESTO SOBRE NÓMINAS?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q68,Durante 2023 dio mordida o soborno para realizar el trámite? IMPUESTO SOBRE NÓMINAS,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q69,En total cuánto dinero dio en sobornos por IMPUESTO SOBRE NÓMINAS,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q70,Durante 2023 realizó trámites de RECAUDACIÓN DE RENTAS?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q71,Durante 2023 dio mordida o soborno para realizar el trámite? RECAUDACIÓN DE RENTAS,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q72,En total cuánto dinero dio en sobornos por RECAUDACIÓN DE RENTAS,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q73,Durante 2023 realizó trámites de SERVICIOS EDUCATIVOS?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q74,Durante 2023 dio mordida o soborno para realizar el trámite? SERVICIOS EDUCATIVOS,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q75,En total cuánto dinero dio en sobornos por SERVICIOS EDUCATIVOS,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q76,Durante 2023 realizó trámites de JMAS (reconexión)?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q77,Durante 2023 dio mordida o soborno para realizar el trámite? JMAS (reconexión),Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q78,En total cuánto dinero dio en sobornos por JMAS (reconexión),Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q79,Durante 2023 realizó Trámites/denuncias por delitos ambientales?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q80,Durante 2023 dio mordida o soborno para realizar Trámites/denuncias por delitos ambientales?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q81,En total cuánto dinero dio en sobornos por DESARROLLO URBANO Y ECOLOGÍA,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q82,Durante 2023 realizó OTROS TRÁMITES ESTATALES?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q83,Cuál es el o los otros trámites estatales que realizó?,Nominal (Abierta),Corruption,Governance & Civic Engagement,Public Integrity
Q84,Durante 2023 dio mordida o soborno para realizar el trámite? OTROS TRÁMITES ESTATALES,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q85,En total cuánto dinero dio en sobornos por OTROS TRÁMITES ESTATALES,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q86,Durante 2023 realizó por lo menos 1 trámite ante gobierno federal?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q87,Durante el 2023 cuántos trámites ante el Gobierno FEDERAL hizo durante este tiempo?,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q88,Durante 2023 realizó trámites del HACIENDA/SAT?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q89,Durante 2023 dio mordida o soborno para realizar el trámite? HACIENDA/SAT,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q90,En total cuánto dinero dio en sobornos por HACIENDA/SAT,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q91,Durante 2023 realizó trámites de CFE?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q92,Durante 2023 dio mordida o soborno para realizar el trámite? CFE,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q93,En total cuánto dinero dio en sobornos por CFE,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q94,Durante 2023 realizó Trámites/denuncias por delitos ambientales? SEMARNAT,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q95,Durante 2023 dio mordida o soborno para realizar Trámites/denuncias por delitos ambientales? SEMARNAT,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q96,En total cuánto dinero dio en sobornos por SEMARNAT,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q97,Durante 2023 realizó Trámites/denuncias por delitos ambientales? PROFEPA,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q98,Durante 2023 dio mordida o soborno para realizar Trámites/denuncias por delitos ambientales? PROFEPA,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q99,En total cuánto dinero dio en sobornos por PROFEPA,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q100,Durante 2023 realizó trámites ante OTRA DEPENDENCIA FEDERAL?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q101,Mencione el nombre de la otra dependencia federal en la que realizó el trámite.,Nominal (Abierta),Corruption,Governance & Civic Engagement,Public Integrity
Q102,Durante 2023 dio mordida o soborno para realizar el trámite? OTRA DEPENDENCIA FEDERAL,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q103,En total cuánto dinero dio en sobornos por OTRA DEPENDENCIA FEDERAL,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q104,Durante 2023 fue detenido por TRÁNSITO MUNICIPAL?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q105,Durante 2023 dio mordida o soborno en dinero o especie? TRÁNSITO MUNICIPAL,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q106,En total cuánto dinero dio en sobornos a TRÁNSITO MUNICIPAL,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q107,Durante 2023 fue detenido por POLICÍA MUNICIPAL?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q108,Durante 2023 dio mordida o soborno en dinero o especie? POLICÍA MUNICIPAL,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q109,En total cuánto dinero dio en sobornos a POLICÍA MUNICIPAL,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q110,Durante 2023 fue detenido por POLICÍA ESTATAL?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q111,Durante 2023 dio mordida o soborno en dinero o especie? POLICÍA ESTATAL,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q112,En total cuánto dinero dio en sobornos a POLICÍA ESTATAL,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q113,Durante 2023 fue detenido por EJÉRCITO?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q114,Durante 2023 dio mordida o soborno en dinero o especie? EJÉRCITO,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q115,En total cuánto dinero dio en sobornos al EJÉRCITO,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q116,Durante 2023 fue detenido por GUARDIA NACIONAL?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q117,Durante 2023 dio mordida o soborno en dinero o especie? GUARDIA NACIONAL,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q118,En total cuánto dinero dio en sobornos a la GUARDIA NACIONAL,Razon,Corruption,Governance & Civic Engagement,Public Integrity
Q119,Desde su punto de vista la corrupción es culpa de...,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q120,Instituciones que más previenen y combaten la corrupción - IMPORTANCIA #1,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q121,Instituciones que más previenen y combaten la corrupción - IMPORTANCIA #2,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q122,Instituciones que más previenen y combaten la corrupción - IMPORTANCIA #3,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q123,En Juarez el que la hace la paga? Es decir se castiga a quien comete algún delito?,Binaria,Impunity,Governance & Civic Engagement,Justice & Accountability
Q124,El GOBIERNO MUNICIPAL sanciona a los servidores públicos sorprendidos en actos de corrupción?,Binaria,Impunity,Governance & Civic Engagement,Justice & Accountability
Q125,El GOBIERNO ESTATAL sanciona a los servidores públicos sorprendidos en actos de corrupción?,Binaria,Impunity,Governance & Civic Engagement,Justice & Accountability
Q126,El GOBIERNO FEDERAL sanciona a los servidores públicos sorprendidos en actos de corrupción?,Binaria,Impunity,Governance & Civic Engagement,Justice & Accountability
Q127,En Juarez la justicia está exenta de corrupción?,Binaria,Corruption,Governance & Civic Engagement,Public Integrity
Q128,Instituciones que más violan las leyes - INSTITUCIÓN #1,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q129,Instituciones que más violan las leyes - INSTITUCIÓN #2,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q130,Instituciones que más violan las leyes - INSTITUCIÓN #3,Categorica,Corruption,Governance & Civic Engagement,Public Integrity
Q131,Interés en participar en la política del municipio,Ordinal,Participation,Community Participation,Civic Activities
Q132.1,Obstáculos para participar: Información,Binaria,Participation,Community Participation,Civic Activities
Q132.2,Obstáculos para participar: Espacios para participar,Binaria,Participation,Community Participation,Civic Activities
Q132.3,Obstáculos para participar: Tiempo,Binaria,Participation,Community Participation,Civic Activities
Q132.4,Obstáculos para participar: Dinero,Binaria,Participation,Community Participation,Civic Activities
Q132.5,Obstáculos para participar: Confianza en las instituciones,Binaria,Participation,Community Participation,Civic Activities
Q132.6,Obstáculos para participar: Otro,Binaria,Participation,Community Participation,Civic Activities
Q133,Participa activamente en alguna organización?,Binaria,Participation,Community Participation,Civic Activities
Q134.1,Participa en: Partidos/organizaciones políticas,Binaria,Participation,Community Participation,Civic Activities
Q134.2,Participa en: Sindicatos,Binaria,Participation,Community Participation,Civic Activities
Q134.3,Participa en: Iglesias/asociaciones religiosas,Binaria,Participation,Community Participation,Civic Activities
Q134.4,Participa en: Agrupaciones empresariales,Binaria,Participation,Community Participation,Civic Activities
Q134.5,Participa en: Asociaciones de padres de familia en escuelas,Binaria,Participation,Community Participation,Civic Activities
Q134.6,Participa en: Asociaciones o equipos deportivos,Binaria,Participation,Community Participation,Civic Activities
Q134.7,Participa en: Asociaciones/comités/juntas de vecinos,Binaria,Participation,Community Participation,Civic Activities
Q134.8,Participa en: Clubs sociales/de servicios,Binaria,Participation,Community Participation,Civic Activities
Q134.9,Participa en: Organizaciones civiles/ONGs/Fundaciones,Binaria,Participation,Community Participation,Civic Activities
Q134.10,Participa en: Grupo de autoayuda o superación,Binaria,Participation,Community Participation,Civic Activities
Q134.11,Participa en: Caja popular o cooperativa de crédito,Binaria,Participation,Community Participation,Civic Activities
Q135,Si pertenece a otra organización (no mencionada) indique cual,Nominal (Abierta),Participation,Community Participation,Civic Activities
Q136,Durante 2023 ¿apoyó activamente a algún movimiento social?,Binaria,Participation,Community Participation,Civic Activities
Q137,Cuál o cuáles movimientos sociales apoyó?,Nominal (Abierta),Participation,Community Participation,Civic Activities
Q138.1,Formas de participación: Propuestas de planes programas leyes o políticas públicas,Binaria,Participation,Community Participation,Community Involvement
Q138.2,Formas de participación: Vigilar acciones/funciones de los servidores/instituciones públicas,Binaria,Participation,Community Participation,Community Involvement
Q138.3,Formas de participación: Firmar cartas de apoyo/amparos,Binaria,Participation,Community Participation,Community Involvement
Q138.4,Formas de participación: Quejarse ante las autoridades,Binaria,Participation,Community Participation,Community Involvement
Q138.5,Formas de participación: Pedir apoyo a una sociedad civil,Binaria,Participation,Community Participation,Community Involvement
Q138.6,Formas de participación: Asistir a manifestaciones y/o marchas,Binaria,Participation,Community Participation,Community Involvement
Q138.7,Formas de participación: Colocar mantas carteles o fotografías,Binaria,Participation,Community Participation,Community Involvement
Q138.8,Formas de participación: Repartir circulares o manifiestos,Binaria,Participation,Community Participation,Community Involvement
Q138.9,Formas de participación: Enviar mensajes opiniones imágenes por redes sociales,Binaria,Participation,Community Participation,Community Involvement
Q138.10,Formas de participación: Usar una aplicación o herramienta electrónica de denuncia ciudadana,Binaria,Participation,Community Participation,Community Involvement
Q138.11,Formas de participación: Hizo algo para resolver un problema con sus vecinos,Binaria,Participation,Community Participation,Community Involvement
