variable,label,scale_type,OldTheme,MainTheme,Subtheme
Q140.8,Conoce: Comités de participación,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.9,Conoce: Planeación participativa,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.10,Conoce: Presupuesto participativo,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.11,Conoce: Cabildo abierto,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.12,Conoce: Contralorías sociales,Binaria,Participation,Community Participation,Decision-Making Participation
Q140.13,Conoce: Mecanismos de participación social para niñas niños y adolescentes,Binaria,Participation,Community Participation,Decision-Making Participation
Q141,Conoce o ha escuchado hablar de Plan Estratégico de Juárez A.C.? SIN APOYO VISUAL,Binaria,Internal,Internal,Internal
Q142,Conoce o ha escuchado hablar de Plan Estratégico de Juárez A.C.? CON APOYO VISUAL,Binaria,Internal,Internal,Internal
Q143.1,PEJ es una asociación apartidista y ciudadana,Binaria,Internal,Internal,Internal
Q143.2,PEJ es una organización con credibilidad,Binaria,Internal,Internal,Internal
Q143.3,PEJ es propositiva,Binaria,Internal,Internal,Internal
Q144,Sexo,Categorica,Internal,Dashboard Context,Survey Demographics
Q145,Edad (escrita),Razon,Internal,Dashboard Context,Survey Demographics
Q146,Rango de edad,Categorica,Internal,Dashboard Context,Survey Demographics
Q147,Grado de escolaridad,Ordinal,Internal,Dashboard Context,Survey Demographics
Q148,Ocupación,Categorica,Internal,Dashboard Context,Survey Demographics
Q149,Cuenta con Seguro Social (IMSS)?,Binaria,Health,Public Services,Healthcare
Q150,Recibe algún ingreso personal de algún tipo?,Binaria,Internal,Dashboard Context,Survey Demographics
Q151,Durante 2023 cual fue su rango de ingreso PERSONAL por semana?,Ordinal,Internal,Dashboard Context,Survey Demographics
Q152,Indique si es un periodo distinto a la semana PERSONAL,Nominal (Abierta),Internal,Dashboard Context,Survey Demographics
Q153,Durante 2023 cual fue su rango de ingreso FAMILIAR por semana?,Ordinal,Internal,Dashboard Context,Survey Demographics
Q154,Indique si es un periodo distinto a la semana FAMILIAR,Nominal (Abierta),Internal,Dashboard Context,Survey Demographics
Q155,Fue supervisado?,Binaria,Internal,Internal,Internal
