"","value","district","gender","age_group"
"452","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"453","Les alcanza bien y pueden ahorrar","10","Mujer","2"
"454","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"455","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"456","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"457","No les alcanza y tienen dificultades","10","Hombre","2"
"458","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"459","Les alcanza justo, sin grandes dificultades","10","Hombre","3"
"460","Les alcanza bien y pueden ahorrar","10","Hombre","1"
"461","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"462","No les alcanza y tienen grandes dificultades","10","Mujer","3"
"463","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"464","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"465","Les alcanza bien y pueden ahorrar","10","Hombre","3"
"466","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"467","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"468","Les alcanza bien y pueden ahorrar","10","Hombre","1"
"469","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"470","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"471","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"472","No les alcanza y tienen dificultades","10","Mujer","2"
"473","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"474","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"475","Les alcanza justo, sin grandes dificultades","10","Hombre","3"
"476","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"477","Les alcanza bien y pueden ahorrar","10","Mujer","2"
"478","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"479","Les alcanza bien y pueden ahorrar","10","Mujer","1"
"480","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"481","Les alcanza justo, sin grandes dificultades","10","Hombre","4"
"482","No les alcanza y tienen grandes dificultades","10","Hombre","2"
"483","No les alcanza y tienen dificultades","10","Hombre","3"
"484","No les alcanza y tienen dificultades","10","Mujer","4"
"485","Les alcanza bien y pueden ahorrar","10","Hombre","1"
"486","Les alcanza bien y pueden ahorrar","10","Mujer","3"
"487","Les alcanza justo, sin grandes dificultades","10","Mujer","4"
"488","No les alcanza y tienen dificultades","10","Mujer","4"
"489","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"490","No les alcanza y tienen dificultades","10","Mujer","3"
"491","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"492","Les alcanza bien y pueden ahorrar","10","Mujer","2"
"493","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"494","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"495","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"496","No les alcanza y tienen dificultades","10","Mujer","3"
"497","Les alcanza bien y pueden ahorrar","10","Hombre","2"
"498","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"499","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"500","Les alcanza justo, sin grandes dificultades","10","Hombre","3"
"501","No les alcanza y tienen dificultades","10","Mujer","2"
"502","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"503","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"504","Les alcanza bien y pueden ahorrar","10","Mujer","3"
"505","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"506","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"507","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"508","Les alcanza bien y pueden ahorrar","10","Mujer","3"
"509","Les alcanza bien y pueden ahorrar","10","Hombre","2"
"510","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"511","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"512","Les alcanza bien y pueden ahorrar","10","Mujer","3"
"513","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"514","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"515","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"516","Les alcanza bien y pueden ahorrar","10","Hombre","4"
"517","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"518","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"519","No les alcanza y tienen dificultades","10","Hombre","2"
"520","No les alcanza y tienen dificultades","8","Mujer","4"
"521","No les alcanza y tienen dificultades","8","Hombre","3"
"522","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"523","No les alcanza y tienen dificultades","8","Mujer","4"
"524","No les alcanza y tienen dificultades","8","Mujer","4"
"525","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"526","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"527","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"528","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"529","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"530","No les alcanza y tienen dificultades","8","Hombre","4"
"531","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"532","No les alcanza y tienen dificultades","8","Hombre","3"
"533","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"534","Les alcanza bien y pueden ahorrar","8","Hombre","1"
"535","No les alcanza y tienen grandes dificultades","8","Mujer","2"
"536","No les alcanza y tienen dificultades","8","Hombre","1"
"537","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"538","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"539","Les alcanza bien y pueden ahorrar","8","Hombre","2"
"540","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"541","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"542","Les alcanza justo, sin grandes dificultades","8","Hombre","4"
"543","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"544","Les alcanza bien y pueden ahorrar","8","Hombre","3"
"545","Les alcanza bien y pueden ahorrar","8","Mujer","3"
"546","No les alcanza y tienen dificultades","8","Hombre","3"
"547","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"548","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"549","Les alcanza bien y pueden ahorrar","8","Hombre","1"
"550","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"551","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"552","Les alcanza bien y pueden ahorrar","8","Mujer","1"
"553","No les alcanza y tienen dificultades","8","Hombre","3"
"554","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"555","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"556","Les alcanza bien y pueden ahorrar","8","Mujer","1"
"557","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"558","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"559","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"560","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"561","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"562","Les alcanza justo, sin grandes dificultades","10","Hombre","3"
"563","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"564","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"565","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"566","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"567","No les alcanza y tienen grandes dificultades","10","Mujer","1"
"568","Les alcanza bien y pueden ahorrar","10","Mujer","1"
"569","Les alcanza bien y pueden ahorrar","10","Mujer","1"
"570","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"571","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"572","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"573","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"574","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"575","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"576","Les alcanza justo, sin grandes dificultades","10","Mujer","1"
"577","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"578","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"579","Les alcanza justo, sin grandes dificultades","10","Mujer","4"
"580","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"581","Les alcanza justo, sin grandes dificultades","10","Hombre","2"
"582","No les alcanza y tienen dificultades","10","Mujer","4"
"583","Les alcanza justo, sin grandes dificultades","10","Mujer","2"
"584","Les alcanza justo, sin grandes dificultades","10","Mujer","3"
"585","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"586","No les alcanza y tienen dificultades","10","Mujer","1"
"587","No les alcanza y tienen dificultades","10","Hombre","4"
"588","No les alcanza y tienen dificultades","10","Hombre","3"
"589","No les alcanza y tienen dificultades","10","Hombre","3"
"590","Les alcanza bien y pueden ahorrar","10","Mujer","1"
"591","No les alcanza y tienen grandes dificultades","10","Mujer","3"
"592","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"593","Les alcanza justo, sin grandes dificultades","10","Hombre","1"
"594","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"595","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"596","Les alcanza justo, sin grandes dificultades","8","Hombre","1"
"597","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"598","Les alcanza justo, sin grandes dificultades","8","Mujer","4"
"599","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"600","No les alcanza y tienen dificultades","8","Hombre","3"
"601","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"602","Les alcanza bien y pueden ahorrar","8","Mujer","1"
"603","Les alcanza justo, sin grandes dificultades","8","Mujer","4"
"604","No les alcanza y tienen dificultades","8","Hombre","2"
"605","No les alcanza y tienen dificultades","8","Hombre","1"
"606","No les alcanza y tienen dificultades","8","Hombre","2"
"607","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"608","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"609","Les alcanza justo, sin grandes dificultades","8","Hombre","1"
"610","No les alcanza y tienen dificultades","8","Mujer","4"
"611","No les alcanza y tienen dificultades","8","Mujer","2"
"612","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"613","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"614","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"615","No les alcanza y tienen dificultades","8","Mujer","3"
"616","No les alcanza y tienen dificultades","8","Hombre","4"
"617","No les alcanza y tienen dificultades","8","Mujer","4"
"618","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"619","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"620","No les alcanza y tienen dificultades","8","Hombre","3"
"621","No les alcanza y tienen dificultades","8","Mujer","4"
"622","Les alcanza justo, sin grandes dificultades","8","Hombre","3"
"623","No les alcanza y tienen dificultades","8","Hombre","2"
"624","No les alcanza y tienen dificultades","8","Mujer","2"
"625","No les alcanza y tienen dificultades","8","Hombre","3"
"626","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"627","No les alcanza y tienen grandes dificultades","8","Mujer","3"
"628","Les alcanza justo, sin grandes dificultades","8","Otro","2"
"629","No les alcanza y tienen dificultades","8","Hombre","2"
"630","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"631","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"632","Les alcanza bien y pueden ahorrar","8","Mujer","1"
"633","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"634","Les alcanza bien y pueden ahorrar","8","Mujer","2"
"635","Les alcanza justo, sin grandes dificultades","8","Mujer","2"
"636","Les alcanza justo, sin grandes dificultades","8","Mujer","3"
"637","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"638","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"639","No les alcanza y tienen grandes dificultades","8","Mujer","3"
"640","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"641","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"642","Les alcanza justo, sin grandes dificultades","8","Hombre","2"
"643","Les alcanza justo, sin grandes dificultades","8","Mujer","1"
"644","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"645","Les alcanza justo, sin grandes dificultades","3","Mujer","2"
"646","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"647","Les alcanza bien y pueden ahorrar","3","Hombre","4"
"648","No les alcanza y tienen dificultades","3","Hombre","4"
"649","No les alcanza y tienen dificultades","3","Hombre","2"
"650","No les alcanza y tienen dificultades","3","Hombre","4"
"651","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"652","No les alcanza y tienen dificultades","3","Hombre","4"
"653","No les alcanza y tienen grandes dificultades","3","Mujer","4"
"654","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"655","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"656","Les alcanza bien y pueden ahorrar","3","Hombre","4"
"657","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"658","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"659","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"660","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"661","No les alcanza y tienen grandes dificultades","3","Mujer","2"
"662","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"663","No les alcanza y tienen grandes dificultades","3","Mujer","3"
"664","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"665","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"666","No les alcanza y tienen dificultades","3","Hombre","3"
"667","No les alcanza y tienen grandes dificultades","3","Mujer","4"
"668","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"669","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"670","Les alcanza bien y pueden ahorrar","3","Hombre","1"
"671","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"672","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"673","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"674","No les alcanza y tienen dificultades","3","Mujer","4"
"675","No les alcanza y tienen dificultades","3","Hombre","4"
"676","Les alcanza bien y pueden ahorrar","3","Mujer","3"
"677","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"678","Les alcanza bien y pueden ahorrar","3","Hombre","4"
"679","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"680","No les alcanza y tienen dificultades","3","Mujer","3"
"681","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"682","Les alcanza justo, sin grandes dificultades","3","Mujer","2"
"683","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"684","Les alcanza bien y pueden ahorrar","3","Hombre","1"
"685","Les alcanza bien y pueden ahorrar","3","Mujer","4"
"686","Les alcanza justo, sin grandes dificultades","3","Mujer","2"
"687","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"688","No les alcanza y tienen dificultades","3","Hombre","2"
"689","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"690","Les alcanza bien y pueden ahorrar","3","Mujer","1"
"691","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"692","Les alcanza bien y pueden ahorrar","3","Mujer","2"
"693","No les alcanza y tienen dificultades","3","Hombre","3"
"694","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"695","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"696","No les alcanza y tienen dificultades","3","Mujer","4"
"697","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"698","No les alcanza y tienen dificultades","3","Mujer","1"
"699","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"700","Les alcanza justo, sin grandes dificultades","3","Hombre","1"
"701","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"702","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"703","No les alcanza y tienen grandes dificultades","3","Mujer","3"
"704","Les alcanza bien y pueden ahorrar","3","Mujer","4"
"705","Les alcanza bien y pueden ahorrar","3","Mujer","1"
"706","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"707","Les alcanza justo, sin grandes dificultades","3","Mujer","2"
"708","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"709","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"710","No les alcanza y tienen dificultades","3","Hombre","2"
"711","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"712","Les alcanza justo, sin grandes dificultades","3","Hombre","1"
"713","Les alcanza bien y pueden ahorrar","3","Hombre","4"
"714","Les alcanza bien y pueden ahorrar","3","Hombre","2"
"715","No les alcanza y tienen dificultades","3","Hombre","3"
"716","Les alcanza bien y pueden ahorrar","3","Mujer","4"
"717","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"718","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"719","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"720","No les alcanza y tienen dificultades","3","Mujer","3"
"721","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"722","No les alcanza y tienen grandes dificultades","3","Mujer","3"
"723","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"724","No les alcanza y tienen dificultades","3","Mujer","4"
"725","Les alcanza justo, sin grandes dificultades","3","Mujer","2"
"726","No les alcanza y tienen dificultades","3","Hombre","4"
"727","No les alcanza y tienen dificultades","3","Hombre","2"
"728","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"729","Les alcanza bien y pueden ahorrar","3","Mujer","3"
"730","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"731","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"732","Les alcanza justo, sin grandes dificultades","3","Hombre","1"
"733","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"734","Les alcanza bien y pueden ahorrar","3","Mujer","1"
"735","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"736","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"737","Les alcanza justo, sin grandes dificultades","3","Mujer","1"
"738","Les alcanza justo, sin grandes dificultades","3","Hombre","1"
"739","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"740","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"741","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"742","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"743","No les alcanza y tienen dificultades","3","Hombre","3"
"744","No les alcanza y tienen dificultades","3","Hombre","4"
"745","Les alcanza bien y pueden ahorrar","3","Mujer","4"
"746","Les alcanza bien y pueden ahorrar","3","Mujer","3"
"747","No les alcanza y tienen dificultades","3","Mujer","3"
"748","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"749","No les alcanza y tienen dificultades","3","Hombre","3"
"750","No les alcanza y tienen dificultades","3","Mujer","2"
"751","Les alcanza bien y pueden ahorrar","3","Mujer","3"
"752","Les alcanza justo, sin grandes dificultades","3","Hombre","1"
"753","No les alcanza y tienen dificultades","3","Mujer","1"
"754","No les alcanza y tienen dificultades","3","Mujer","4"
"755","No les alcanza y tienen dificultades","3","Hombre","4"
"756","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"757","Les alcanza bien y pueden ahorrar","3","Mujer","2"
"758","No les alcanza y tienen dificultades","3","Hombre","4"
"759","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"760","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"761","No les alcanza y tienen dificultades","3","Mujer","3"
"762","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"763","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"764","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"765","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"766","No les alcanza y tienen dificultades","3","Hombre","3"
"767","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"768","Les alcanza bien y pueden ahorrar","3","Hombre","4"
"769","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"770","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"771","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"772","No les alcanza y tienen dificultades","3","Mujer","1"
"773","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"774","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"775","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"776","Les alcanza bien y pueden ahorrar","3","Mujer","4"
"777","No les alcanza y tienen dificultades","3","Mujer","2"
"778","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"779","No les alcanza y tienen dificultades","3","Hombre","2"
"780","Les alcanza bien y pueden ahorrar","3","Hombre","1"
"781","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"782","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"783","No les alcanza y tienen dificultades","3","Hombre","3"
"784","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"785","Les alcanza justo, sin grandes dificultades","3","Mujer","3"
"786","No les alcanza y tienen dificultades","3","Mujer","1"
"787","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"788","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"789","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"790","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"791","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"792","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"793","No les alcanza y tienen grandes dificultades","3","Hombre","2"
"794","No les alcanza y tienen dificultades","3","Mujer","1"
"795","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"796","No les alcanza y tienen dificultades","3","Hombre","1"
"797","Les alcanza justo, sin grandes dificultades","3","Hombre","2"
"798","Les alcanza justo, sin grandes dificultades","3","Hombre","4"
"799","Les alcanza bien y pueden ahorrar","3","Hombre","3"
"800","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"801","Les alcanza justo, sin grandes dificultades","3","Mujer","4"
"802","Les alcanza justo, sin grandes dificultades","3","Hombre","3"
"803","Les alcanza justo, sin grandes dificultades","3","Mujer","2"
"804","Les alcanza justo, sin grandes dificultades","6","Mujer","1"
"805","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"806","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"807","No les alcanza y tienen dificultades","6","Hombre","4"
"808","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"809","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"810","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"811","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"812","No les alcanza y tienen grandes dificultades","6","Mujer","3"
"813","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"814","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"815","No les alcanza y tienen dificultades","6","Mujer","1"
"816","No les alcanza y tienen grandes dificultades","6","Hombre","3"
"817","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"818","Les alcanza justo, sin grandes dificultades","6","Hombre","1"
"819","Les alcanza justo, sin grandes dificultades","6","Mujer","2"
"820","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"821","Les alcanza bien y pueden ahorrar","6","Mujer","4"
"822","Les alcanza bien y pueden ahorrar","6","Hombre","4"
"823","No les alcanza y tienen dificultades","6","Mujer","4"
"824","Les alcanza bien y pueden ahorrar","6","Mujer","2"
"825","Les alcanza justo, sin grandes dificultades","6","Mujer","4"
"826","No les alcanza y tienen grandes dificultades","6","Mujer","1"
"827","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"828","No les alcanza y tienen dificultades","6","Hombre","4"
"829","Les alcanza justo, sin grandes dificultades","6","Hombre","3"
"830","No les alcanza y tienen dificultades","6","Hombre","1"
"831","Les alcanza justo, sin grandes dificultades","6","Mujer","3"
"832","No les alcanza y tienen dificultades","6","Mujer","3"
"833","No les alcanza y tienen dificultades","6","Mujer","3"
"834","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"835","Les alcanza justo, sin grandes dificultades","6","Hombre","2"
"836","No les alcanza y tienen dificultades","2","Mujer","3"
"837","Les alcanza bien y pueden ahorrar","2","Mujer","1"
"838","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"839","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"840","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"841","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"842","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"843","No les alcanza y tienen dificultades","2","Mujer","2"
"844","Les alcanza bien y pueden ahorrar","2","Mujer","1"
"845","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"846","Les alcanza bien y pueden ahorrar","2","Mujer","1"
"847","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"848","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"849","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"850","Les alcanza justo, sin grandes dificultades","2","Hombre","1"
"851","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"852","Les alcanza justo, sin grandes dificultades","2","Mujer","2"
"853","Les alcanza bien y pueden ahorrar","2","Hombre","1"
"854","Les alcanza justo, sin grandes dificultades","2","Mujer","1"
"855","Les alcanza justo, sin grandes dificultades","2","Mujer","4"
"856","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"857","No les alcanza y tienen dificultades","2","Mujer","3"
"858","Les alcanza justo, sin grandes dificultades","2","Hombre","2"
"859","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"860","Les alcanza justo, sin grandes dificultades","2","Mujer","3"
"861","Les alcanza justo, sin grandes dificultades","2","Hombre","4"
"862","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"863","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"864","Les alcanza bien y pueden ahorrar","2","Mujer","1"
"865","Les alcanza bien y pueden ahorrar","2","Mujer","1"
"866","Les alcanza justo, sin grandes dificultades","2","Hombre","3"
"867","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"868","Les alcanza justo, sin grandes dificultades","9","Hombre","2"
"869","Les alcanza justo, sin grandes dificultades","9","Mujer","2"
"870","Les alcanza justo, sin grandes dificultades","9","Mujer","1"
"871","Les alcanza justo, sin grandes dificultades","9","Mujer","3"
"872","Les alcanza bien y pueden ahorrar","9","Hombre","2"
"873","No les alcanza y tienen dificultades","9","Hombre","2"
"874","Les alcanza justo, sin grandes dificultades","9","Mujer","2"
"875","Les alcanza justo, sin grandes dificultades","9","Mujer","1"
"876","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"877","No les alcanza y tienen dificultades","9","Hombre","1"
"878","No les alcanza y tienen dificultades","9","Mujer","1"
"879","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"880","No les alcanza y tienen dificultades","9","Mujer","2"
"881","No les alcanza y tienen dificultades","9","Hombre","2"
"882","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"883","Les alcanza bien y pueden ahorrar","9","Hombre","1"
"884","Les alcanza justo, sin grandes dificultades","9","Mujer","1"
"885","Les alcanza justo, sin grandes dificultades","9","Mujer","2"
"886","Les alcanza justo, sin grandes dificultades","9","Hombre","4"
"887","Les alcanza justo, sin grandes dificultades","9","Mujer","3"
"888","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"889","Les alcanza justo, sin grandes dificultades","9","Mujer","2"
"890","Les alcanza justo, sin grandes dificultades","9","Hombre","3"
"891","No les alcanza y tienen dificultades","9","Mujer","3"
"892","Les alcanza bien y pueden ahorrar","9","Mujer","2"
"893","No les alcanza y tienen dificultades","9","Mujer","3"
"894","Les alcanza justo, sin grandes dificultades","9","Mujer","2"
"895","Les alcanza justo, sin grandes dificultades","9","Mujer","2"
"896","Les alcanza justo, sin grandes dificultades","9","Mujer","1"
"897","Les alcanza justo, sin grandes dificultades","9","Hombre","1"
"898","Les alcanza bien y pueden ahorrar","9","Hombre","1"
"899","Les alcanza justo, sin grandes dificultades","9","Mujer","3"
"900","Les alcanza bien y pueden ahorrar","9","Hombre","1"
"901","Les alcanza justo, sin grandes dificultades","9","Hombre","4"
"902","Les alcanza justo, sin grandes dificultades","9","Mujer","3"
